P03886	MT-ND1

Q5BN46	PIERCE1

	CYP1A1

	ACTN3

	PIERCE1

Q08043	ACTN3

Q14765	STAT4

	DMTN

	APLP1

	HGS

P31025	LCN1

	STAT4

O14964	HGS

P55259	GP2

P17947	SPI1

P51693	APLP1

O43548	TGM5

	SPI1

Q8NGB6	OR4M2

Q9NY56	OBP2A

Q15172	PPP2R5A

	GP2

	OBP2A

A6NDN3	GOLGA6B

Q8WUI4	HDAC7

Q9UBK5	HCST

Q5SVJ3	C1orf100

A6NEH6	TMEM247

Q96A05	ATP6V1E2

	TYROBP

	SLC39A13

	HDAC7

P07911	UMOD

Q05823	RNASEL

Q96H72	SLC39A13

Q537H7	SPATA45

O43914	TYROBP

P17081	RHOQ

	UMOD

	RHOQ

O60312	ATP10A

	ATP10A

Q8N3E9	PLCD3

	PLCD3

Q8N807	PDILT

	PDILT

Q6NUN0	ACSM5

P47712	PLA2G4A

Q9UI33	SCN11A

	SCN11A

Q07326	PIGF

Q13702	RAPSN

	PIGF

	ACSM5

	RAPSN

Q9HAY2	MAGEF1

	ACSM2A

	NDUFS3

Q9P021	CRIPT

A6NLC5	C3orf70

Q9NVF9	ETNK2

Q8NC06	ACBD4

	ETNK2

Q9Y448	KNSTRN

	NUP214

O75489	NDUFS3

P61077	UBE2D3

P04920	SLC4A2

P11473	VDR

Q8WUK0	PTPMT1

O60656	UGT1A9

	VDR

	PTPMT1

	UBE2D3

	KNSTRN

Q08AH3	ACSM2A

Q8WV28	BLNK

	ACBD4

	BLNK

O94992	HEXIM1

P27539	GDF1

	MMP25

Q9BZQ2	SHCBP1L

	LYSMD4

P35658	NUP214

	TMEM106C

Q9NPA2	MMP25

Q5XG99	LYSMD4

Q08495	DMTN

Q6P1K8	GTF2H2C

Q5VV17	OTUD1

	GTF2H2C

Q96LL3	C16orf92

Q9Y5W7	SNX14

	C16orf92

P30419	NMT1

	NMT1

Q9BVX2	TMEM106C

Q92604	LPGAT1

	CCDC136

	MCTP2

P19224	UGT1A6

	UGT1A6

	VPS8

Q8TBK2	SETD6

	SETD6

Q8N3P4	VPS8

Q96JN2	CCDC136

Q6DN12	MCTP2

P22309	UGT1A1

Q6ZQW0	IDO2

O43298	ZBTB43

	ZBTB43

	HJURP

Q9NR00	TCIM

Q6R6M4	USP17L2

Q6PCE3	PGM2L1

Q8IUK5	PLXDC1

A6NK58	LIPT2

	LIPT2

Q9UKU9	ANGPTL2

	PFKFB2

Q8NB14	USP38

Q13002	GRIK2

Q8NCD3	HJURP

	GRIK2

Q9Y6H6	KCNE3

Q16625	OCLN

	KCNE3

	USP38

O14579	COPE

Q16659	MAPK6

Q16864	ATP6V1F

	COPE

A0A1B0GUX0	ATP6V1FNB

	ARHGAP11A-SCG5

	SLC27A6

Q96B97	SH3KBP1

H3BSY2	GOLGA8M

	PLXDC1

	SH3KBP1

O43909	EXTL3

Q86UF1	TSPAN33

	EXTL3

	SETD7

Q9Y2P4	SLC27A6

Q8WTS6	SETD7

O60825	PFKFB2

A6NH57	ARL5C

	ARL5C

Q99570	PIK3R4

	SHF

Q7M4L6	SHF

Q96CN7	ISOC1

	PIK3R4

Q99735	MGST2

	ISOC1

A0A1B0GV03	GOLGA6L7

Q99835	SMO

	SMO

	DDX49

Q6ZMT1	STAC2

Q969S3	ZNF622

	STAC2

	PDCD6-AHRR

O95832	CLDN1

	UBE2V2

	CLDN16

P02458	COL2A1

Q9Y5I7	CLDN16

Q96PQ0	SORCS2

	SORCS2

	NR2E3

Q15819	UBE2V2

Q9Y5X4	NR2E3

Q9Y6V7	DDX49

	ATXN3

Q7Z2W7	TRPM8

Q96KN1	LRATD2

O15375	SLC16A5

	SLC16A5

	TRPM8

Q06416	POU5F1B

	GLI3

Q9H6L4	ARMC7

Q16706	MAN2A1

	ARMC7

P10071	GLI3

P54252	ATXN3

O76061	STC2

	NT5C

	CTSF

	STC2

Q96R30	OR2V2

	AIMP1

	TMED2

Q3ZCQ2	ANXA2R

Q6UUV7	CRTC3

Q8TCD5	NT5C

	CRTC3

Q8TAG5	VSTM2A

Q15363	TMED2

P54253	ATXN1

	ATXN1

A1KXE4	FAM168B

Q9BRT8	ZNG1A

	VSTM2A

	ZNG1A

Q9UKV8	AGO2

Q12904	AIMP1

	AGO2

Q9NSC5	HOMER3

	PALS2

Q6IEG0	SNRNP48

Q5T5P2	KIAA1217

	SNRNP48

	HEATR5B

	HOMER3

Q17R31	TATDN3

	KIAA1217

	TATDN3

Q9UBX1	CTSF

Q13895	BYSL

	TGFB1

Q8NHQ9	DDX55

Q9NZW5	PALS2

	BYSL

Q9UK76	JPT1

	DDX55

	PRKCSH

P0CH99	ZNF705D

Q9NP95	FGF20

	FGF20

Q9P2D3	HEATR5B

P30281	CCND3

	JPT1

Q86UN3	RTN4RL2

	RTN4RL2

A8MTT3	CEBPZOS

Q86XE3	MICU3

Q14232	EIF2B1

	EIF2B1

	MICU3

P61956	SUMO2

	SUMO2

Q9Y6T7	DGKB

	DGKB

Q5VV16	FOXD4L5

Q03701	CEBPZ

	CEBPZ

Q96CG8	CTHRC1

	NUP85

	CTHRC1

O95704	APBB3

P10911	MCF2

O75387	SLC43A1

	MCF2

	SLC43A1

	CCND3

	PDIA3

	SELP

	NDUFAF7

P16109	SELP

P14314	PRKCSH

P62072	TIMM10

Q5MJ08	SPANXN4

	SPANXN4

A2A368	MAGEB16

Q4L235	AASDH

	MAGEB16

A5YKK6	CNOT1

B4E2M5	ANKRD66

Q8NEK8	TENT5D

	ANKRD66

P30101	PDIA3

O14933	UBE2L6

Q8IZT8	HS3ST5

Q6ZTW0	TPGS1

P0DN78	OPN1MW3

	UBE2L6

	AASDH

A0A3B3IU63	H2AL3

	MAGEB6B

Q9NS26	SPANXA1

Q8N9W4	GOLGA6L2

Q9BW27	NUP85

P23511	NFYA

	GTF2H3

P62805	H4C8

Q7L592	NDUFAF7

Q9GZY0	NXF2B

	CNOT1

	CAMK1G

	CSAG2

P49427	CDC34

	CDC34

	APBB3

Q96NX5	CAMK1G

Q9Y320	TMX2

	TMX2

	GZMM

	OR2J2

O43824	GTPBP6

P51124	GZMM

O15482	TEX28

O95057	DIRAS1

	DIRAS1

Q5MJ10	SPANXN2

Q499Z4	ZNF672

	TMSB15C

	ZNF672

P0DX01	GOLGA6L25

P0DX02	GOLGA6L26

	SLC39A3

P0DX00	GOLGA6L24

Q9BRY0	SLC39A3

Q9H6Y5	MAGIX

	SERPING1

	TMEM266

Q06203	PPAT

O94806	PRKD3

Q9NVC3	SLC38A7

	PPAT

	PRKD3

Q9NYW7	TAS2R1

Q13889	GTF2H3

	TAS2R1

Q2M3C6	TMEM266

	SLC38A7

P19875	CXCL2

	QPCT

Q96A47	ISL2

	ISL2

Q8TE49	OTUD7A

Q7L591	DOK3

P05155	SERPING1

Q13751	LAMB3

	OTUD7A

Q16769	QPCT

	DOK3

	LAMB3

Q9UKI2	CDC42EP3

Q6UW88	EPGN

	EPGN

O15014	ZNF609

	CDC42EP3

	ZNF609

P00505	GOT2

O60939	SCN2B

	SCN2B

	OR8G3P

Q9Y487	ATP6V0A2

	ATP6V0A2

P62266	RPS23

	RPS23

	GOT2

Q9BUP3	HTATIP2

P51617	IRAK1

	PRKCH

	IRAK1

	RBL2

O43765	SGTA

O95190	OAZ2

	SGTA

	OAZ2

Q9HCE6	ARHGEF10L

	HTATIP2

Q8IU60	DCP2

	DCP2

Q08999	RBL2

	PLAAT5

Q9NZ52	GGA3

	ARHGEF10L

P51843	NR0B1

	NR0B1

Q96KN8	PLAAT5

P24723	PRKCH

Q9NUQ3	TXLNG

	GGA3

	HADH

Q6ZMP0	THSD4

Q16836	HADH

Q9ULD9	ZNF608

	RBBP7

	THSD4

O75052	NOS1AP

	ZNF608

	NOS1AP

Q8IVF4	DNAH10

	ZNG1E

P52888	THOP1

	THOP1

	MRPS7

Q07325	CXCL9

Q9Y2R9	MRPS7

Q16576	RBBP7

P02778	CXCL10

Q86TJ5	ZNF554

	ZNF554

Q5VTE6	ANGEL2

Q99614	TTC1

O14625	CXCL11

	ZNF555

	SLC7A8

	TTC1

Q9UJY1	HSPB8

	HSPB8

Q8NEP9	ZNF555

Q6ZV65	FAM47E

	FAM47E

	ADAMTS19

	ZNF556

Q9HAH1	ZNF556

Q9Y4G6	TLN2

	KEAP1

	FAM47E-STBD1

	TLN2

Q8NFH8	REPS2

Q8WWA0	ITLN1

O95210	STBD1

	RAPH1

Q70E73	RAPH1

Q14145	KEAP1

	PPFIBP1

Q9UHI5	SLC7A8

	PABIR3

	RGSL1

Q9HC21	SLC25A19

	SLC25A19

Q8N442	GUF1

	ST7

Q6P4D5	PABIR3

	GUF1

	GNPDA2

	GPX2

P18283	GPX2

Q68CZ1	RPGRIP1L

	RPGRIP1L

	ATG4D

Q9NRC1	ST7

Q8TDQ7	GNPDA2

	GRB2

Q86TL0	ATG4D

	INTS14

Q5FYB0	ARSJ

	ARSJ

	CALM1

Q9NYY3	PLK2

	PLK2

	TUBB3

Q9H977	WDR54

Q9UJG1	MOSPD1

Q13509	TUBB3

P62993	GRB2

Q96HG1	SMIM10

P0DP23	CALM1

A5PLK6	RGSL1

Q8IYN2	TCEAL8

	SH3TC1

	TCEAL8

Q96SY0	INTS14

Q5H9L2	TCEAL5

	INO80B

Q56P03	EAPP

	EAPP

Q9BXY8	BEX2

Q9C086	INO80B

Q9NXP7	GIN1

	BEX2

Q8TE82	SH3TC1

Q8IYI6	EXOC8

Q8TEW0	PARD3

	INO80B-WBP1

Q9C0B6	BRINP2

Q8NHB1	OR2V1

	OR2V1

Q8N9T8	KRI1

	KRI1

Q92541	RTF1

Q9BUB4	ADAT1

	ADAT1

	RTF1

Q9BRJ9	MESP1

	WBP1

Q8TDX7	NEK7

Q96G27	WBP1

	NEK7

P84098	RPL19

	RPL19

	SEMA4B

P55273	CDKN2D

	PARD3

	AP1M2

Q8N414	PGBD5

Q96EL3	MRPL53

	MRPL53

Q13316	DMP1

Q5TZF3	ANKRD45

	DMP1

	CCDC142

Q17RM4	CCDC142

Q8IVW8	SPNS2

	SPNS2

Q9Y6Q5	AP1M2

	ZNF695

Q8IW36	ZNF695

Q05397	PTK2

	PTK2

Q14315	FLNC

Q86W92	PPFIBP1

Q9NPR2	SEMA4B

Q9BXX3	ANKRD30A

	ANKRD30A

Q5RIA9	ZNG1E

	SLC44A2

Q49AM3	TTC31

	ARHGAP4

Q14028	CNGB1

Q5H9R7	PPP6R3

Q6ZUT6	CCDC9B

Q6BDI9	REP15

	PPP6R3

	CCDC9B

	CNGB1

	TTC31

	MRPS35

Q8WXT5	FOXD4L4

P10451	SPP1

P82673	MRPS35

A8K0Z3	WASHC1

	CNNM1

Q9NRU3	CNNM1

	WASHC1

Q9BQG0	MYBBP1A

	RSPRY1

	KLHL42

	SPP1

P98171	ARHGAP4

Q9UP83	COG5

Q9P2K6	KLHL42

	MYBBP1A

P17174	GOT1

Q8IWA5	SLC44A2

Q6IPW1	C11orf71

Q9BSM1	PCGF1

Q96DX4	RSPRY1

	TLX2

P12272	PTHLH

Q96S38	RPS6KC1

Q9H257	CARD9

O43763	TLX2

	GGT6

Q6P531	GGT6

	PTHLH

	DQX1

	HNRNPC

Q9Y580	RBM7

	RPS6KC1

Q99732	LITAF

	RBM7

Q2TAL5	SMTNL2

Q8TE96	DQX1

	LITAF

	SMTNL2

	CEP290

P0DMB2	C8orf88

Q6UWM7	LCTL

Q9BXR0	QTRT1

O76024	WFS1

	WFS1

	QTRT1

	LCTL

Q8N4L2	PIP4P2

P07910	HNRNPC

	PIP4P2

Q8N4X5	AFAP1L2

P16050	ALOX15

	AFAP1L2

Q6GTS8	PM20D1

	ALOX15

Q13445	TMED1

	TMED1

Q9Y679	AUP1

	BMAL1

	ZNF670-ZNF695

Q8N6M0	OTUD6B

	ATP2C1

A8MVS5	C19orf38

	CERT1

	OTUD6B

P98194	ATP2C1

Q8IZL8	PELP1

	PELP1

	LRRC69

Q12879	GRIN2A

P41227	NAA10

	GRIN2A

P51825	AFF1

Q6ZNQ3	LRRC69

	AFF1

Q8NGC6	OR4K17

Q9NUT2	ABCB8

	ABCB8

	NAA10

	MIA2

Q00597	FANCC

	ATIC

Q8WUM0	NUP133

	FANCC

P54851	EMP2

O15078	CEP290

	C16orf82

Q2M5E4	RGS21

Q9P2F9	ZNF319

	ZNF319

Q08431	MFGE8

P0C7X2	ZNF688

	MFGE8

	ZNF688

P40394	ADH7

A6NKF2	ARID3C

	ARRB2

	ADH7

	ARID3C

Q08116	RGS1

Q96CV9	OPTN

	OPTN

	YIPF7

	SLC26A7

Q8N8F6	YIPF7

Q99828	CIB1

Q9Y5X5	NPFFR2

	NPFFR2

	RABGEF1

Q6P3X8	PGBD2

	CIB1

O00327	BMAL1

P31939	ATIC

Q14188	TFDP2

Q9Y5P4	CERT1

Q8N6V9	TEX9

Q9Y5Y0	FLVCR1

Q96H22	CENPN

Q9UJ41	RABGEF1

	FLVCR1

	TEX9

Q9HC98	NEK6

Q9H223	EHD4

	TFDP2

Q9NQX6	ZNF331

	NEK6

	TRIM4

Q9C037	TRIM4

Q86XP0	PLA2G4D

Q8IVJ1	SLC41A1

	CPA5

Q9HBI5	C3orf14

	ANKDD1B

	PLA2G4E

	C3orf14

Q3MJ16	PLA2G4E

Q8N9A8	CNEP1R1

A6NHY2	ANKDD1B

	CNEP1R1

Q7L590	MCM10

P04275	VWF

	MCM10

Q3MIP1	ITPRIPL2

Q99436	PSMB7

P32121	ARRB2

	PSMB7

	VWF

O15050	TRANK1

Q9NQW5	PRDM7

Q8WVF2	UCMA

P83111	LACTB

	PRDM7

	UCMA

Q8TE54	SLC26A7

	TRANK1

	LACTB

O95342	ABCB11

Q92834	RPGR

Q9BVA6	FICD

	FICD

Q13285	NR5A1

	MED11

	NR5A1

Q9P086	MED11

Q71UM5	RPS27L

	RPS27L

Q6ZN04	MEX3B

	RPGR

O14832	PHYH

	SAXO2

Q96I99	SUCLG2

P55851	UCP2

	SUCLG2

	UCP2

Q8WXQ8	CPA5

Q658L1	SAXO2

	SWI5

A6NI86	GOLGA6L10

	PHYH

Q9H091	ZMYND15

	ZNF331

	ZNF438

O14894	TM4SF5

Q7Z4V0	ZNF438

Q96MP8	KCTD7

	KCTD7

Q7Z5L0	VMO1

Q8TE73	DNAH5

O75443	TECTA

A6NH11	GLTPD2

	TECTA

	DNAH5

	HTT

O75445	USH2A

	PSMB6

P28072	PSMB6

	MCM4

Q7RTS1	BHLHA15

Q58EX7	PLEKHG4

	SUV39H2

P42858	HTT

	ERCC6L2

	GSK3A

P51608	MECP2

Q7Z2Z2	EFL1

	MECP2

	EFL1

	PLEKHG4

Q5T890	ERCC6L2

Q9H5I1	SUV39H2

P51178	PLCD1

Q96PC5	MIA2

Q9BS34	ZNF670

Q5JSS6	MEIG1

Q92543	SNX19

Q15020	SART3

	SNX19

Q9UNL2	SSR3

Q9HCE7	SMURF1

P30520	ADSS2

	SART3

P49840	GSK3A

	SSR3

Q96PQ7	KLHL5

	GNPTG

	KLHL5

Q7Z2Z1	TICRR

Q8N7P1	PLD5

	TICRR

	KIF7

P98164	LRP2

	LRP2

	ZNF574

Q6ZN55	ZNF574

Q8TB40	ABHD4

	ABHD4

Q96LW9	ZSCAN31

	PLD5

Q13216	ERCC8

	ASTE1

	ERCC8

Q2TB18	ASTE1

Q7Z570	ZNF804A

Q92567	FAM168A

	FANCG

P86790	CCZ1B

Q8IZ08	GPR135

O14939	PLD2

Q9UJJ9	GNPTG

Q8WXF8	DEDD2

	GNG2

	PLD2

P57796	CABP4

	ZSCAN31

A6NJW9	CD8B2

	CD8B2

	CCZ1B

Q2M1P5	KIF7

	ACBD6

	CABP4

	DEDD2

Q9BR61	ACBD6

Q15008	PSMD6

Q9H1K1	ISCU

Q5JXM2	METTL24

P59768	GNG2

	PSMD6

	ISCU

P49765	VEGFB

	VEGFB

	PTCD3

P33991	MCM4

Q4V9L6	TMEM119

	TMEM119

	MS4A12

Q9NXJ0	MS4A12

	EMP1

Q8IY49	MMD2

	RIPK2

Q16568	CARTPT

P54849	EMP1

O15287	FANCG

Q5J8X5	MS4A13

	MS4A13

P01571	IFNA17

P01570	IFNA14

	GIPR

P01569	IFNA5

Q9P2J3	KLHL9

Q96PM5	RCHY1

Q8N4V1	MMGT1

	MMGT1

P01563	IFNA2

O43353	RIPK2

P32881	IFNA8

P22303	ACHE

P01562	IFNA1

Q96EY7	PTCD3

Q05BV3	EML5

Q86WN2	IFNE

Q9NQZ6	ZC4H2

Q68CK6	ACSM2B

P48546	GIPR

	ACHE

	ZC4H2

	ACSM2B

Q9Y236	OSGIN2

	EML5

	RCHY1

	MS4A4A

	OSGIN2

	QPCTL

Q96JQ5	MS4A4A

A0A1B0GTB2	TUNAR

	TUNAR

D6RIA3	C4orf54

Q9NXS2	QPCTL

	FAM161B

O75795	UGT2B17

Q9NZE8	MRPL35

Q6PJ61	FBXO46

	UGT2B17

	FBXO46

	MRPL35

	DECR1

Q4KWH8	PLCH1

	PLCH1

Q96MY7	FAM161B

P54855	UGT2B15

	ACSM3

P09238	MMP10

	MMP10

P23588	EIF4B

	TACC3

Q9GZV5	WWTR1

	EIF4B

	WWTR1

Q14244	MAP7

	KDM3A

	SEMA6B

Q9H3T3	SEMA6B

Q8N4C8	MINK1

Q8TDW4	ST7L

P58317	ZNF121

	ZNF121

Q16698	DECR1

	MAP7

Q53FZ2	ACSM3

	SLCO1C1

Q9Y6A5	TACC3

Q9NXG2	THUMPD1

Q63ZY3	KANK2

	KANK2

Q9UHF4	IL20RA

	THUMPD1

Q9Y2Z9	COQ6

	IL20RA

	COQ6

	ST7L

Q9NYB5	SLCO1C1

	MINK1

Q6UWY2	PRSS57

	PRSS57

O43927	CXCL13

	FAS

P25445	FAS

Q96JA1	LRIG1

Q04844	CHRNE

	MANEA

	CHRNE

	REXO5

Q8N7C3	TRIML2

Q5SRI9	MANEA

	C17orf107

	TRIML2

Q6ZR85	C17orf107

Q92993	KAT5

P54802	NAGLU

	NAGLU

P21589	NT5E

	NT5E

	KAT5

	HSD17B1

Q9UBH6	XPR1

P14061	HSD17B1

	CCDC180

	ENTPD5

P01589	IL2RA

	IL2RA

O75356	ENTPD5

	COASY

Q96IC2	REXO5

Q9Y4C1	KDM3A

Q15058	KIF14

P28336	NMBR

Q8N9L1	ZIC4

Q5VZP5	STYXL2

Q8ND07	BBOF1

	BBOF1

Q96JS3	PGBD1

Q96I25	RBM17

	RBM17

Q8TDP1	RNASEH2C

Q13057	COASY

	UBE2F-SCLY

	DMD

	RNASEH2C

	ZIC4

Q2VPB7	AP5B1

O14753	OVOL1

	HSD17B4

	OVOL1

Q86XR2	NIBAN3

Q5TYW2	ANKRD20A1

Q08AH1	ACSM1

	ANKRD20A1

	COLGALT2

	NIBAN3

Q8IYK4	COLGALT2

	ACSM1

Q02252	ALDH6A1

O15552	FFAR2

	ALDH6A1

Q13410	BTN1A1

P40225	THPO

	THPO

P23528	CFL1

	SCLY

Q9P2W1	PSMC3IP

P58304	VSX2

	PSMC3IP

Q13948	CUX1

	CFL1

	ABAT

	AK9

Q96JZ2	HSH2D

P11532	DMD

Q96I15	SCLY

	HSH2D

Q5TCS8	AK9

Q8IY50	SLC35F3

Q9Y2X9	ZNF281

	EXOC3L2

P68431	H3C6

Q86XE0	SNX32

Q96RJ0	TAAR1

	RETREG3

	NMD3

	KIF21A

O14678	ABCD4

Q6ZVH7	ESPNL

Q93096	PTP4A1

Q7Z4S6	KIF21A

	ABCD4

	PTP4A1

	ESPNL

	CUX1

Q0D2K2	KLHL30

	MUS81

Q86VR2	RETREG3

Q4G0M1	ERFE

Q13126	MTAP

	FANCI

	MTAP

	ERFE

P51659	HSD17B4

Q9NVI1	FANCI

P39880	CUX1

Q9NRH3	TUBG2

O60934	NBN

	NBN

	PRMT1

Q96D46	NMD3

P80404	ABAT

P42771	CDKN2A

Q8N726	CDKN2A

Q96NY9	MUS81

Q7Z736	PLEKHH3

	CDKN2A

Q96JY0	MAEL

	MAEL

Q96L33	RHOV

Q6NZ63	STEAP1B

	STEAP1B

Q9P253	VPS18

	VPS18

Q96B77	TMEM186

	PLEKHH3

	VRTN

Q9H8Y1	VRTN

Q99873	PRMT1

Q9NR61	DLL4

	LIN52

P49716	CEBPD

Q9BUX1	CHAC1

	NAMPT

	CHAC1

Q16875	PFKFB3

	RETREG1

Q9H0C8	ILKAP

	PFKFB3

	ILKAP

P43490	NAMPT

Q9H6L5	RETREG1

	KLHDC1

Q15102	PAFAH1B3

	CTSW

P04183	TK1

	TK1

	PAFAH1B3

P42772	CDKN2B

	ARID4B

P56202	CTSW

Q9Y2V2	CARHSP1

Q8N7A1	KLHDC1

Q96HZ4	HES6

P49286	MTNR1B

	MTNR1B

	CARHSP1

	HES6

Q8N2Y8	RUSC2

P08172	CHRM2

	FAM166B

A8MTA8	FAM166B

Q96H79	ZC3HAV1L

Q8IVF5	TIAM2

	BIRC5

	TIAM2

Q99435	NELL2

Q9ULG1	INO80

O15392	BIRC5

	NELL2

Q9Y399	MRPS2

O60524	NEMF

	MRPS2

Q6YBV0	SLC36A4

P04090	RLN2

	SLC36A4

Q8TDR0	TRAF3IP1

	RLN2

Q13084	MRPL28

P04808	RLN1

O60500	NPHS1

	KRBA2

	TRAF3IP1

O43309	ZSCAN12

	MRPL28

Q6ZNG9	KRBA2

	NEMF

Q9HAR2	ADGRL3

Q6NZI2	CAVIN1

A8MW99	MEI4

Q7Z2W4	ZC3HAV1

Q15072	ZNF146

Q9NR81	ARHGEF3

	ZC3HAV1

	INO80

Q9HBL7	PLGRKT

	ADGRL3

P62330	ARF6

	ARF6

Q9P2C4	TMEM181

	TMEM181

O43924	PDE6D

Q9ULE6	PALD1

	PDE6D

	PALD1

P46095	GPR6

	ARHGEF3

O94874	UFL1

P23582	NPPC

Q8TDW7	FAT3

Q9NZQ7	CD274

Q5TD97	FHL5

Q9HCN3	PGAP6

	FAT3

	PGAP6

Q9Y281	CFL2

Q14257	RCN2

Q4LE39	ARID4B

	CFL2

Q9NSE2	CISH

	RCN2

P03956	MMP1

Q9BQ51	PDCD1LG2

P78527	PRKDC

Q8NHU3	SGMS2

Q86TA1	MOB3B

	SGMS2

P07195	LDHB

	PRKDC

Q9P0W0	IFNK

	LDHB

Q15777	MPPED2

Q96JX3	SERAC1

O60938	KERA

O60637	TSPAN3

	MPPED2

Q7L8J4	SH3BP5L

Q8IYB7	DIS3L2

	SERAC1

	TSPAN3

Q8WXA2	PATE1

O00746	NME4

	WNT2B

	NME4

Q6UY27	PATE2

Q93097	WNT2B

Q9NTN9	SEMA4G

	DIS3L2

B3GLJ2	PATE3

	SEMA4G

Q9BZL6	PRKD2

	C9orf72

	PATE4

P0C8F1	PATE4

Q96LT7	C9orf72

	PRKD2

	GTF2H5

Q6ZYL4	GTF2H5

Q96M11	HYLS1

	TNPO1

Q9H1E3	NUCKS1

Q9BZE2	PUS3

	PSTPIP1

Q92973	TNPO1

A0AVF1	TTC26

	PUS3

Q7L985	LINGO2

O43567	RNF13

	TTC26

Q5VWT5	FYB2

	LINGO2

	RNF13

Q9NRL2	BAZ1A

	ZBTB34

	BAZ1A

P05187	ALPP

Q99500	S1PR3

P05093	CYP17A1

Q15622	OR7A5

	CYP17A1

	CGB2

Q6NT52	CGB2

	SRA1

Q9NR82	KCNQ5

Q8WTR8	NTN5

P10696	ALPG

	NTN5

	UBN2

Q96B45	BORCS7

Q92529	SHC3

	DDX25

	SHC3

	KCNQ5

Q9HD15	SRA1

	ALPI

P33552	CKS2

	BORCS7-ASMT

	TRIM39-RPP21

Q9UHL0	DDX25

Q9H553	ALG2

Q13454	TUSC3

Q6ZU65	UBN2

O00311	CDC7

	TUSC3

	PPP2R3C

	CDC7

	ALG2

A0A1B0GTY4	TEX50

	SEC61B

O43586	PSTPIP1

P09923	ALPI

P60468	SEC61B

Q9Y5R4	HEMK1

Q9HBK9	AS3MT

	JADE2

	HEMK1

A0PJY2	FEZF1

	NT5C2

P49902	NT5C2

Q9Y2T5	GPR52

	FEZF1

P13640	MT1G

	CCPG1

Q9H7S9	ZNF703

	MT1G

Q9NQC1	JADE2

Q99878	H2AC14

Q99879	H2BC14

	ECEL1

P62805	H4C11

P62805	H4C12

A0A1W2PR48	TLE7

Q96QF0	RAB3IP

Q9NXL6	SIDT1

O95711	LY86

	RAB3IP

P68431	H3C10

Q969Q6	PPP2R3C

Q9H6Y2	WDR55

	ZNF19

	WDR55

Q8IZJ1	UNC5B

O75151	PHF2

O97980	HMHB1

Q8NGV0	OR2Y1

Q8TDV0	GPR151

	PHF2

Q96CM3	RPUSD4

Q9Y5H4	PCDHGA1

Q9Y5H1	PCDHGA2

	RPUSD4

P17023	ZNF19

O95672	ECEL1

Q9H7B4	SMYD3

Q9BZD2	SLC29A3

	PRORP

	SLC29A3

Q9ULG6	CCPG1

Q9Y5H0	PCDHGA3

P0CW18	PRSS56

	SMYD3

	PCDHGA3

Q9Y5G3	PCDHGB1

Q9BZS1	FOXP3

	CCDC14

	WEE1

	ERLIN2

P30291	WEE1

Q8NCG5	CHST4

	FOXP3

Q9Y5G9	PCDHGA4

Q92918	MAP4K1

Q9Y5G2	PCDHGB2

