Entry	PROSITE
P17020	PS00028;PS50157;
P17021	PS50805;PS00028;PS50157;
P17022	PS50805;PS50804;PS00028;PS50157;
P17023	PS50805;PS00028;PS50157;
P17024	PS50805;PS00028;PS50157;
P17027	PS50805;PS00028;PS50157;
P17028	PS50804;PS00028;PS50157;
P17036	PS50805;PS00028;PS50157;
P17040	PS50804;PS00028;PS50157;
P17041	PS00028;PS50157;
P17050	PS00512;
P17066	PS00297;PS00329;PS01036;
P17081	PS51420;
P17096	PS00354;
P17152	
P17174	PS00105;
P17181	PS50853;
P17213	PS00400;
P17252	PS51285;PS50004;PS00107;PS50011;PS00108;PS00479;PS50081;
P17275	PS50217;PS00036;
P17301	PS51470;PS00242;PS50234;
P17302	PS00407;PS00408;
P17342	PS00458;
P17405	PS50015;
P17480	PS50118;
P17481	PS00032;PS00027;PS50071;
P17482	PS00027;PS50071;
P17483	PS00032;PS00027;PS50071;
P17509	PS00032;PS00027;PS50071;
P17516	PS00798;PS00062;PS00063;
P17535	PS50217;PS00036;
P17540	PS00112;PS51510;PS51509;
P17542	PS50888;
P17544	PS50217;PS00036;PS00028;PS50157;
P17568	PS51808;
P17600	PS00415;PS00416;
P17612	PS51285;PS00107;PS50011;PS00108;
P17643	PS00497;PS00498;
P17655	PS50203;PS00018;PS50222;PS00139;
P17658	
P17661	PS00226;PS51842;
P17676	PS50217;
P17677	PS50096;PS00412;PS00413;
P17693	PS50835;PS00290;
P17706	PS00383;PS50056;PS50055;
P17707	PS01336;
P17735	PS00105;
P17752	PS51671;PS00367;PS51410;
P17787	PS00236;
P17812	PS51273;
P17813	
P17844	PS00039;PS51192;PS51194;PS51195;
P17858	PS00433;
P17861	PS50217;PS00036;
P17900	
P17927	PS50923;
P17931	PS51304;
P17936	PS00222;PS51323;PS00484;PS51162;
P17947	PS00345;PS00346;PS50061;
P17948	PS50835;PS00107;PS50011;PS00109;PS00240;
P17980	PS00674;
P17987	PS00750;PS00751;PS00995;
P18031	PS00383;PS50056;PS50055;
P18054	PS00711;PS00081;PS51393;PS50095;
P18065	PS00222;PS51323;PS00484;PS51162;
P18074	PS00690;PS51193;
P18075	PS00250;PS51362;
P18077	PS01105;
P18084	PS00022;PS01186;PS00243;
P18085	PS51417;
P18089	PS00237;PS50262;
P18124	PS00634;
P18146	PS00028;PS50157;
P18206	PS00663;PS00664;
P18283	PS00460;PS00763;PS51355;
P18405	PS50244;
P18428	PS00400;
P18433	PS00383;PS50056;PS50055;
P18440	
P18505	PS00236;
P18507	PS00236;
P18509	PS00260;
P18510	PS00253;
P18545	
P18564	PS00022;PS01186;PS00243;
P18577	
P18583	PS50137;PS50174;
P18615	PS50102;
P18621	PS00464;
P18627	PS50835;
P18669	PS00175;
P18754	PS00625;PS00626;PS50012;
P18825	PS00237;PS50262;
P18827	PS00964;
P18846	PS50217;PS00036;PS50953;
P18847	PS50217;PS00036;
P18848	PS50217;PS00036;
P18850	PS50217;PS00036;
P18858	PS00697;PS00333;PS50160;
P18859	
P18887	PS50172;
P19012	PS00226;PS51842;
P19013	PS00226;PS51842;
P19021	PS00084;PS00085;PS51125;
P19022	PS00232;PS50268;
P19075	PS00421;
P19086	PS51882;
P19087	PS51882;
P19099	PS00086;
P19105	PS00018;PS50222;
P19113	PS00392;
P19174	PS50004;PS00018;PS50222;PS50003;PS50007;PS50008;PS50001;PS50002;
P19224	PS00375;
P19235	PS50853;PS01352;
P19237	
P19256	
P19320	PS50835;
P19338	PS50102;
P19367	PS00378;PS51748;
P19387	PS00446;
P19388	PS01110;
P19397	PS00421;
P19404	PS01099;
P19419	PS00345;PS00346;PS50061;
P19429	
P19438	PS50017;PS00652;PS50050;
P19440	PS00462;
P19447	PS51192;PS51194;
P19474	PS50188;PS50119;PS00518;PS50089;
P19484	PS50888;
P19525	PS50137;PS00107;PS50011;PS00108;
P19526	
P19532	PS50888;
P19544	PS00028;PS50157;
P19622	PS00033;PS00027;PS50071;
P19623	PS01330;PS51006;
P19634	
P19652	
P19784	PS00107;PS50011;PS00108;
P19793	PS51843;PS00031;PS51030;
P19801	PS01164;PS01165;
P19823	PS51468;PS50234;
P19827	PS51468;PS50234;
P19835	PS00122;PS00941;
P19838	PS50297;PS50088;PS01204;PS50254;
P19875	PS00471;
P19876	PS00471;
P19878	PS51745;PS50002;PS50005;PS50293;
P19883	PS51465;PS51364;
P19957	PS00313;PS51390;
P19971	PS00647;
P20020	PS00154;
P20023	PS50923;
P20036	PS50835;PS00290;
P20042	
P20061	PS00468;
P20062	PS00468;
P20073	PS00223;PS51897;
P20132	PS00165;
P20138	PS50835;
P20142	PS00141;PS51767;
P20151	PS50240;PS00134;PS00135;
P20155	PS00282;PS51465;
P20160	PS50240;
P20226	PS00351;
P20231	PS50240;PS00134;PS00135;
P20248	PS00292;
P20264	PS00027;PS50071;PS00035;PS00465;PS51179;
P20265	PS00027;PS50071;PS00035;PS00465;PS51179;
P20273	PS50835;
P20290	PS51151;
P20292	PS01297;
P20309	PS00237;PS50262;
P20333	PS00652;PS50050;
P20336	PS51419;
P20337	PS51419;
P20338	PS51419;
P20339	PS51419;
P20340	PS51419;
P20366	PS00267;
P20393	PS51843;PS00031;PS51030;
P20396	
P20472	PS00018;PS50222;
P20585	PS00486;
P20591	PS00410;PS51718;PS51388;
P20592	PS00410;PS51718;PS51388;
P20594	PS00458;PS00452;PS50125;PS50011;
P20618	PS00854;PS51476;
P20645	PS51914;
P20648	PS00154;
P20671	PS00046;
P20674	
P20700	PS00226;PS51842;PS51841;
P20701	PS51470;PS00242;PS50234;
P20702	PS51470;PS00242;PS50234;
P20711	PS00392;
P20718	PS50240;PS00134;PS00135;
P20719	PS00032;PS00027;PS50071;
P20742	PS00477;
P20749	PS50297;PS50088;
P20774	PS51450;
P20783	PS00248;PS50270;
P20794	PS00107;PS50011;PS00108;
P20800	PS00270;
P20807	PS50203;PS00018;PS50222;PS00139;
P20809	
P20810	
P20813	PS00086;
P20815	PS00086;
P20823	PS51937;PS00027;PS50071;PS51936;
P20827	PS01299;PS51551;
P20839	PS51371;PS00487;
P20848	PS00284;
P20849	
P20851	PS50923;
P20853	PS00086;
P20908	PS51461;
P20916	PS50835;
P20929	PS51216;PS50002;
P20930	PS00018;PS50222;PS00303;
P20933	
P20936	PS50004;PS50003;PS00509;PS50018;PS50001;PS50002;
P20941	
P20963	PS51055;
P21108	PS00114;
P21127	PS50011;PS00108;
P21128	PS51959;PS00524;PS50958;
P21145	PS51225;
P21217	
P21246	PS00619;PS00620;
P21266	PS50405;PS50404;
P21281	PS00152;
P21283	
P21291	PS00478;PS50023;
P21333	PS00019;PS00020;PS50021;PS50194;
P21359	PS50191;PS00509;PS50018;
P21397	
P21399	PS00450;PS01244;
P21439	PS50929;PS00211;PS50893;
P21452	PS00237;PS50262;
P21453	PS00237;PS50262;
P21462	PS00237;PS50262;
P21549	PS00595;
P21554	PS00237;PS50262;
P21579	PS50004;
P21580	PS50802;PS51036;
P21583	
P21589	PS00785;PS00786;
P21673	PS51186;
P21675	PS00633;PS50014;
P21695	PS00957;
P21709	PS01186;PS51550;PS50853;PS00107;PS50011;PS00109;PS00790;PS00791;PS50105;
P21728	PS00237;PS50262;
P21730	PS00237;PS50262;
P21731	PS00237;PS50262;
P21741	PS00619;PS00620;
P21754	PS00682;PS51034;
P21757	PS00420;PS50287;
P21781	PS00247;
P21796	PS00558;
P21802	PS50835;PS00107;PS50011;PS00109;
P21810	PS51450;
P21815	
P21817	PS50188;PS50919;
P21854	PS50041;
P21860	PS50011;
P21912	PS00197;PS51085;PS00198;PS51379;
P21917	PS00237;PS50262;
P21918	PS00237;PS50262;
P21926	PS00421;
P21941	PS01186;PS50234;
P21953	
P21964	PS51682;
P21980	PS00547;
P22001	
P22003	PS00250;PS51362;
P22004	PS00250;PS51362;
P22033	PS51332;PS00544;
P22059	PS01013;PS50003;
P22061	PS01279;
P22079	PS50292;
P22083	
P22087	PS00566;
P22102	PS50975;PS00184;PS00373;
P22105	PS00022;PS01186;PS50026;PS00514;PS51406;PS50853;
P22223	PS00232;PS50268;
P22234	PS01057;PS01058;
P22301	PS00520;
P22303	PS00122;PS00941;
P22304	PS00523;PS00149;
P22307	PS00098;PS00737;
P22309	PS00375;
P22310	PS00375;
P22314	PS00536;PS00865;
P22352	PS00460;PS00763;PS51355;
P22362	PS00472;
P22392	PS00469;
P22413	PS00524;PS50958;
P22415	PS50888;
P22455	PS50835;PS00107;PS50011;PS00109;
P22459	
P22460	
P22466	PS00861;
P22492	PS51504;
P22528	
P22557	PS00599;
P22570	
P22607	PS50835;PS00107;PS50011;PS00109;
P22612	PS51285;PS00107;PS50011;PS00108;
P22626	PS50102;
P22670	PS51526;
P22674	
P22680	PS00086;
P22681	PS51506;PS50030;PS00518;PS50089;
P22692	PS00222;PS51323;PS00484;PS51162;
P22694	PS51285;PS00107;PS50011;PS00108;
P22695	PS00143;
P22732	PS50850;PS00216;PS00217;
P22735	PS00547;
P22736	PS51843;PS00031;PS51030;
P22748	PS00162;PS51144;
P22749	PS50015;
P22760	PS01174;
P22792	PS51450;
P22794	
P22830	PS00534;
P22888	PS00237;PS50262;
P22891	PS00010;PS00022;PS01186;PS50026;PS00011;PS50998;PS50240;
P22894	PS00546;PS00024;PS51642;PS00142;
P22897	PS00615;PS50041;PS00023;PS51092;PS50231;
P22914	PS50915;
P23025	PS00752;PS00753;
P23083	PS50835;
P23109	PS00485;
P23141	PS00122;PS00941;
P23142	PS01177;PS01178;PS00010;PS01186;PS50026;PS01187;
P23193	PS51321;PS51319;PS00466;PS51133;
P23219	PS50026;PS50292;
P23229	PS51470;PS00242;
P23246	PS50102;
P23258	PS00227;
P23276	PS51885;PS00142;
P23280	PS00162;PS51144;
P23284	PS00170;PS50072;
P23297	PS00018;PS50222;PS00303;
P23327	
P23352	PS50853;PS51390;
P23368	PS00331;
P23378	
P23381	PS00178;PS00762;PS51185;
P23396	PS50823;PS00548;
P23409	PS50888;
P23415	PS00236;
P23416	PS00236;
P23434	PS50968;PS00189;
P23435	PS50871;
P23443	PS51285;PS00107;PS50011;PS00108;
P23458	PS50057;PS00107;PS50011;PS00109;PS50001;
P23467	PS50853;PS00383;PS50056;PS50055;
P23468	PS50853;PS50835;PS00383;PS50056;PS50055;
P23469	PS00383;PS50056;PS50055;
P23470	PS51144;PS50853;PS00383;PS50056;PS50055;
P23471	PS51144;PS50853;PS00383;PS50056;PS50055;
P23490	
P23497	PS50118;PS51414;PS50864;
P23508	
P23510	PS00251;
P23511	PS00686;PS51152;
P23515	PS51450;
P23526	PS00738;PS00739;
P23527	PS00357;
P23528	PS51263;
P23560	PS00248;PS50270;
P23582	PS00263;
P23588	PS50102;
P23610	
P23634	PS00154;
P23677	
P23743	PS50146;PS00018;PS50222;PS00479;PS50081;
P23759	PS00027;PS50071;PS50803;PS00034;PS51057;
P23760	PS00027;PS50071;PS00034;PS51057;
P23763	PS00417;PS50892;
P23769	PS00344;PS50114;
P23771	PS00344;PS50114;
P23786	PS00439;PS00440;
P23919	PS01331;
P23921	PS51161;PS00089;
P23942	PS00930;
P23945	PS00237;PS50262;
P23946	PS50240;PS00134;PS00135;
P23975	PS00610;PS00754;PS50267;
P24001	
P24043	PS00022;PS01186;PS01248;PS50027;PS50025;PS51115;PS51117;
P24046	PS00236;
P24071	
P24158	PS50240;PS00134;PS00135;
P24278	PS50097;PS00028;PS50157;
P24298	
P24310	
P24311	
P24347	PS00546;PS00024;PS51642;PS00142;
P24385	PS00292;
P24386	
P24387	
P24390	PS00951;PS00952;
P24394	PS50853;PS01355;
P24462	PS00086;
P24468	PS51843;PS00031;PS51030;
P24522	
P24530	PS00237;PS50262;
P24534	PS00824;PS00825;
P24539	
P24557	PS00086;
P24588	PS51893;
P24592	PS51323;PS00484;PS51162;
P24593	PS00222;PS51323;PS00484;PS51162;
P24666	
P24723	PS51285;PS50004;PS00107;PS50011;PS00108;PS00479;PS50081;
P24752	PS00098;PS00737;PS00099;
P24821	PS00022;PS01186;PS50026;PS51406;PS50853;
P24844	PS00018;PS50222;
P24855	PS00919;PS00918;
P24863	
P24864	PS00292;
P24903	PS00086;
P24928	PS00115;
P24941	PS00107;PS50011;PS00108;
P25021	PS00237;PS50262;
P25024	PS00237;PS50262;
P25025	PS00237;PS50262;
P25054	PS50176;
P25063	
P25067	PS50871;
P25090	PS00237;PS50262;
P25092	PS00452;PS50125;PS50011;
P25098	PS51285;PS50003;PS00107;PS50011;PS00108;PS50132;
P25100	PS00237;PS50262;
P25101	PS00237;PS50262;
P25103	PS00237;PS50262;
P25105	PS00237;PS50262;
P25106	PS00237;PS50262;
P25116	PS00237;PS50262;
P25189	PS50835;PS00568;
P25205	PS00847;PS50051;
P25208	PS00685;
P25311	PS50835;PS00290;
P25325	PS00380;PS00683;PS50206;
P25391	PS00022;PS01186;PS01248;PS50027;PS50025;PS51115;PS51117;
P25398	PS01189;
P25440	PS00633;PS50014;PS51525;
P25445	PS50017;PS00652;PS50050;
P25490	PS00028;PS50157;
P25685	PS00636;PS50076;
P25686	PS00636;PS50076;PS50330;
P25705	PS00152;
P25713	PS00203;
P25774	PS00640;PS00139;PS00639;
P25786	PS00388;PS51475;
P25787	PS00388;PS51475;
P25788	PS00388;PS51475;
P25789	PS00388;PS51475;
P25791	PS00478;PS50023;
P25800	PS00478;PS50023;
P25815	PS50222;PS00303;
P25874	PS50920;
P25929	PS00237;PS50262;
P25940	PS51461;
P25942	PS00652;PS50050;
P25963	PS50297;PS50088;
P26006	PS51470;PS00242;
P26010	PS00022;PS01186;PS00243;
P26012	PS00022;PS01186;PS00243;
P26022	PS00289;PS51828;
P26038	PS00660;PS00661;PS50057;
P26045	PS00660;PS00661;PS50057;PS50106;PS00383;PS50056;PS50055;
P26196	PS00039;PS51192;PS51194;PS51195;
P26232	PS00663;
P26358	PS51038;PS00094;PS00095;PS51912;PS51679;PS51058;
P26367	PS00027;PS50071;PS00034;PS51057;
P26368	PS50102;
P26371	
P26373	PS01104;
P26374	
P26378	PS50102;
P26436	
P26439	
P26440	PS00072;PS00073;
P26441	
P26447	PS00018;PS50222;PS00303;
P26572	
P26583	PS00353;PS50118;
P26599	PS50102;
P26639	PS50862;PS51880;
P26640	PS00178;PS50405;
P26641	PS50040;PS50405;PS50404;
P26651	PS50103;
P26678	
P26715	PS50041;
P26717	PS50041;
P26718	PS50041;
P26842	PS00652;PS50050;
P26885	PS50059;
P26927	PS00021;PS50070;PS50948;PS50240;
P26951	PS01356;
P26992	PS50853;PS01354;PS50835;
P26998	PS50915;
P27037	PS50011;PS00108;
P27105	PS01270;
P27144	PS00113;
P27169	
P27216	PS00223;PS51897;
P27338	
P27348	PS00796;PS00797;
P27352	PS00468;
P27361	PS01351;PS00107;PS50011;PS00108;
P27448	PS50032;PS00107;PS50011;PS00108;PS50030;
P27449	
P27469	
P27487	PS00708;
P27539	PS00250;PS51362;
P27540	PS50888;PS50112;
P27544	PS50922;
P27635	PS01257;
P27658	PS50871;
P27694	
P27695	PS00726;PS00727;PS00728;PS51435;
P27701	PS00421;
P27707	
P27708	PS50975;PS00097;PS00866;PS00867;PS00482;PS00483;PS51273;PS51855;
P27797	PS00803;PS00804;PS00805;PS00014;
P27815	PS00126;PS51845;
P27816	PS00229;PS51491;
P27824	PS00803;PS00804;PS00805;
P27918	PS50092;
P27930	PS50835;
P27986	PS50238;PS50001;PS50002;
P27987	
P28039	PS50015;
P28062	PS00854;PS51476;
P28065	PS00854;PS51476;
P28066	PS00388;PS51475;
P28067	PS50835;PS00290;
P28068	PS50835;PS00290;
P28069	PS00027;PS50071;PS00035;PS00465;PS51179;
P28070	PS00854;PS51476;
P28072	PS00854;PS51476;
P28074	PS00854;PS51476;
P28161	PS50405;PS50404;
P28221	PS00237;PS50262;
P28222	PS00237;PS50262;
P28223	PS00237;PS50262;
P28288	PS50929;PS00211;PS50893;
P28289	
P28290	
P28300	PS00926;
P28324	PS00345;PS00346;PS50061;
P28325	PS00287;
P28328	PS00518;PS50089;
P28329	PS00439;PS00440;
P28330	PS00072;PS00073;
P28331	PS51085;PS51839;PS51669;PS00641;PS00642;PS00643;
P28332	PS00059;
P28335	PS00237;PS50262;
P28336	PS00237;PS50262;
P28340	PS00116;
P28347	PS00554;PS51088;
P28356	PS00027;PS50071;
P28358	PS00027;PS50071;
P28360	PS00027;PS50071;
P28370	PS51192;PS51194;PS51293;
P28472	PS00236;
P28476	PS00236;
P28482	PS01351;PS00107;PS50011;PS00108;
P28562	PS50206;PS00383;PS50056;PS50054;
P28566	PS00237;PS50262;
P28676	PS00018;PS50222;
P28698	PS50804;PS00028;PS50157;
P28702	PS51843;PS00031;PS51030;
P28715	PS00841;PS00842;
P28749	
P28799	PS00799;
P28827	PS50853;PS50835;PS00740;PS50060;PS00383;PS50056;PS50055;
P28838	PS00631;
P28845	PS00061;
P28906	
P28907	
P28908	PS00652;PS50050;
P29016	PS50835;
P29017	PS50835;
P29033	PS00407;PS00408;
P29034	PS00018;PS50222;PS00303;
P29074	PS00660;PS00661;PS50057;PS50106;PS00383;PS50056;PS50055;
P29083	PS51344;
P29084	PS51351;
P29120	PS51829;PS51892;PS00136;PS00137;PS00138;
P29122	PS51829;PS50900;PS51892;PS00136;PS00137;PS00138;
P29144	PS51892;PS00137;PS00138;
P29218	PS00629;PS00630;
P29274	PS00237;PS50262;
P29275	PS00237;PS50262;
P29279	PS01185;PS01225;PS00222;PS51323;PS50092;PS01208;PS50184;
P29317	PS51550;PS50853;PS00107;PS50011;PS00109;PS00790;PS00791;PS50105;
P29320	PS01186;PS51550;PS50853;PS00107;PS50011;PS00109;PS00790;PS00791;PS50105;
P29322	PS01186;PS51550;PS50853;PS00107;PS50011;PS00109;PS00790;PS00791;PS50105;
P29323	PS51550;PS50853;PS00107;PS50011;PS00109;PS00790;PS00791;PS50105;
P29350	PS50001;PS00383;PS50056;PS50055;
P29353	PS01179;PS50001;
P29371	PS00237;PS50262;
P29372	
P29373	PS00214;
P29374	PS51011;
P29375	PS51011;PS51184;PS51183;PS01359;PS50016;
P29376	PS00107;PS50011;PS00109;PS00239;
P29400	PS51403;
P29401	PS00801;PS00802;
P29459	
P29460	PS50853;PS01354;PS50835;
P29466	PS50209;PS01122;PS01121;PS50207;PS50208;
P29474	PS51384;PS50902;PS60001;
P29475	PS51384;PS50902;PS60001;PS50106;
P29508	PS00284;
P29536	PS51082;
P29558	PS50102;
P29590	PS50119;PS00518;PS50089;
P29597	PS50057;PS00107;PS50011;PS00109;
P29622	PS00284;
P29692	PS00824;PS00825;
P29728	PS00832;PS00833;PS50152;
P29803	
P29965	PS00251;PS50049;
P29966	PS00826;PS00827;
P29972	PS00221;
P29973	PS00888;PS00889;PS50042;
P29992	PS51882;
P30038	PS00070;PS00687;
P30039	
P30040	PS00014;
P30041	PS51352;
P30043	
P30044	PS51352;
P30046	PS01158;
P30047	
P30048	PS51352;
P30049	
P30050	PS00359;
P30084	PS00166;
P30085	PS00113;
P30086	PS01220;
P30101	PS00194;PS51352;
P30153	PS50077;
P30154	PS50077;
P30203	PS00420;PS50287;
P30260	PS50005;PS50293;
P30273	PS51055;
P30279	PS00292;
P30281	PS00292;
P30291	PS00107;PS50011;PS00108;
P30301	PS00221;
P30304	PS50206;
P30305	PS50206;
P30307	PS50206;
P30405	PS00170;PS50072;
P30411	PS00237;PS50262;
P30414	PS00170;PS50072;
P30419	PS00975;PS00976;
P30511	PS50835;PS00290;
P30518	PS00237;PS50262;
P30519	PS00593;
P30520	PS01266;PS00513;
P30530	PS50853;PS50835;PS00107;PS50011;PS00109;
P30531	PS00610;PS00754;PS50267;
P30532	PS00236;
P30533	PS00014;
P30536	
P30542	PS00237;PS50262;
P30550	PS00237;PS50262;
P30556	PS00237;PS50262;
P30559	PS00237;PS50262;
P30566	PS00163;
P30613	PS00110;
P30622	PS00845;PS50245;
P30626	PS00018;PS50222;
P30679	PS51882;
P30711	PS50405;PS50404;
P30740	PS00284;
P30793	PS00859;PS00860;
P30825	
P30837	PS00070;PS00687;
P30838	PS00070;PS00687;
P30872	PS00237;PS50262;
P30874	PS00237;PS50262;
P30876	PS01166;
P30926	PS00236;
P30939	PS00237;PS50262;
P30968	PS00237;PS50262;
P30988	PS00649;PS00650;PS50227;PS50261;
P30989	PS00237;PS50262;
P30990	
P31025	
P31040	PS00504;
P31146	PS00678;PS50082;PS50294;
P31150	
P31151	PS00018;PS50222;PS00303;
P31152	PS00107;PS50011;PS00108;
P31153	PS00376;PS00377;
P31213	PS50244;
P31249	PS00032;PS00027;PS50071;
P31260	PS00027;PS50071;
P31268	PS00032;PS00027;PS50071;
P31269	PS00027;PS50071;
P31270	PS00027;PS50071;
P31271	PS00027;PS50071;
P31273	PS00032;PS00027;PS50071;
P31274	PS00027;PS50071;
P31276	PS00027;PS50071;
P31314	PS00027;PS50071;
P31321	PS00888;PS00889;PS50042;
P31323	PS00888;PS00889;PS50042;
P31327	PS50975;PS00866;PS00867;PS51273;PS51855;
P31350	PS00368;
P31358	
P31371	PS00247;
P31391	PS00237;PS50262;
P31415	PS00863;PS00864;
P31431	PS00964;
P31483	PS50102;
P31512	
P31513	
P31629	PS00028;PS50157;
P31639	PS00456;PS00457;PS50283;
P31641	PS00610;PS00754;PS50267;
P31644	PS00236;
P31645	PS00610;PS00754;PS50267;
P31689	PS00636;PS50076;PS51188;
P31749	PS51285;PS50003;PS00107;PS50011;PS00108;
P31751	PS51285;PS50003;PS00107;PS50011;PS00108;
P31785	PS50853;PS01355;
P31930	
P31937	PS00895;
P31939	PS51855;
P31941	PS00903;PS51747;
P31942	PS50102;
P31943	PS50102;
P31944	PS01122;PS50207;PS50208;
P31946	PS00796;PS00797;
P31947	PS00796;PS00797;
P31948	PS50005;PS50293;
P31949	PS00018;PS50222;PS00303;
P31994	PS50835;
P31995	PS50835;
P31997	PS50835;
P32004	PS50853;PS50835;
P32019	PS50238;
P32119	PS51352;
P32121	PS00295;
P32189	PS00933;PS00445;
P32238	PS00237;PS50262;
P32239	PS00237;PS50262;
P32241	PS00649;PS00650;PS50227;PS50261;
P32242	PS00027;PS50071;
P32243	PS00027;PS50071;
P32245	PS00237;PS50262;
P32246	PS00237;PS50262;
P32247	PS00237;PS50262;
P32248	PS00237;PS50262;
P32249	PS00237;PS50262;
P32297	PS00236;
P32298	PS51285;PS00107;PS50011;PS00108;PS50132;
P32302	PS00237;PS50262;
P32320	PS00903;PS51747;
P32321	PS00903;PS51747;
P32322	PS00521;
P32418	
P32455	PS51715;
P32456	PS51715;
P32519	PS00345;PS00346;PS50061;
P32745	PS00237;PS50262;
P32754	PS51819;
P32780	PS50858;
P32856	PS00914;PS50192;
P32881	PS00252;
P32926	PS00232;PS50268;
P32927	PS50853;PS01355;
P32929	PS00868;
P32942	PS50835;
P32969	PS00700;
P32970	PS00251;PS50049;
P32971	PS00251;PS50049;
P33032	PS00237;PS50262;
P33076	PS51450;PS50837;
P33121	PS00455;
P33151	PS00232;PS50268;
P33176	PS00411;PS50067;
P33240	PS50102;
P33241	
P33260	PS00086;
P33261	PS00086;
P33316	
P33402	PS00452;PS50125;
P33527	PS50929;PS00211;PS50893;
P33681	PS50835;
P33763	PS00018;PS50222;PS00303;
P33764	PS00303;
P33778	PS00357;
P33897	PS50929;PS00211;PS50893;
P33908	
P33947	PS00951;PS00952;
P33981	PS00107;PS50011;PS00108;
P33991	PS00847;PS50051;
P33992	PS00847;PS50051;
P33993	PS00847;PS50051;
P34059	PS00523;PS00149;
P34096	PS00127;
P34130	PS00248;PS50270;
P34741	PS00964;
P34810	PS00311;PS51407;
P34896	PS00096;
P34897	PS00096;
P34903	PS00236;
P34910	
P34913	
P34925	PS50011;PS00109;PS50814;
P34931	PS00297;PS00329;PS01036;
P34932	PS00329;PS01036;
P34947	PS51285;PS00107;PS50011;PS50132;
P34949	PS00965;PS00966;
P34969	PS00237;PS50262;
P34972	PS00237;PS50262;
P34981	PS00237;PS50262;
P34982	PS00237;PS50262;
P34998	PS00649;PS00650;PS50227;PS50261;
P35030	PS50240;PS00134;
P35052	PS01207;
P35070	PS00022;PS01186;PS50026;
P35080	PS00414;
P35125	PS50086;PS00972;PS00973;PS50235;
P35212	PS00407;PS00408;
P35218	PS00162;PS51144;
P35219	PS00162;PS51144;
P35221	PS00663;
P35222	PS50176;
P35225	PS00838;
P35226	PS00518;PS50089;
P35227	PS00518;PS50089;
P35228	PS51384;PS50902;PS60001;
P35232	
P35236	PS00383;PS50056;PS50055;
P35237	PS00284;
P35240	PS00660;PS00661;PS50057;
P35241	PS00660;PS00661;PS50057;
P35243	PS00018;PS50222;
P35244	
P35247	PS00615;PS50041;
P35249	
P35250	
P35251	PS50172;
P35268	
P35269	
P35270	
P35318	
P35321	
P35326	
P35346	PS00237;PS50262;
P35348	PS00237;PS50262;
P35354	PS50026;PS50292;
P35367	PS00237;PS50262;
P35368	PS00237;PS50262;
P35372	PS00237;PS50262;
P35398	PS51843;PS00031;PS51030;
P35408	PS00237;PS50262;
P35414	PS00237;PS50262;
P35442	PS01186;PS50026;PS50092;PS51234;PS51236;PS01208;PS50184;
P35443	PS01186;PS50026;PS01187;PS51234;PS51236;
P35452	PS00027;PS50071;
P35453	PS00027;PS50071;
P35462	PS00237;PS50262;
P35475	PS01027;
P35498	
P35499	PS50096;
P35503	PS00375;
P35504	PS00375;
P35520	PS51371;PS00901;
P35523	PS51371;
P35527	PS00226;PS51842;
P35548	PS00027;PS50071;
P35555	PS00010;PS00022;PS01186;PS50026;PS01187;PS51364;
P35556	PS00010;PS00022;PS01186;PS50026;PS01187;PS51364;
P35557	PS00378;PS51748;
P35558	PS00505;
P35568	PS51064;PS50003;
P35573	
P35575	
P35579	PS50096;PS51456;PS51844;
P35580	PS50096;PS51456;PS51844;
P35590	PS00022;PS01186;PS50026;PS50853;PS00107;PS50011;PS00109;
P35606	PS50082;PS50294;
P35609	PS00019;PS00020;PS50021;PS50222;
P35610	
P35611	
P35612	
P35613	PS50835;
P35625	PS50189;PS00288;
P35626	PS51285;PS50003;PS00107;PS50011;PS00108;PS50132;
P35637	PS50102;PS01358;PS50199;
P35638	PS50217;
P35658	
P35659	PS51998;
P35670	PS00154;PS01047;PS50846;
P35680	PS51937;PS00027;PS50071;PS51936;
P35711	PS50118;
P35712	PS50118;
P35713	PS50118;PS51516;
P35716	PS50118;
P35749	PS50096;PS51456;PS51844;
P35754	PS00195;PS51354;
P35789	PS50805;PS00028;PS50157;
P35790	
P35813	PS01032;PS51746;
P35858	PS51450;
P35869	PS50888;PS50112;
P35900	PS00226;PS51842;
P35908	PS00226;PS51842;
P35913	PS00126;PS51845;
P35914	PS01062;PS50991;
P35916	PS50835;PS00107;PS50011;PS00109;PS00240;
P35968	PS50835;PS00107;PS50011;PS00109;PS00240;
P35998	PS00674;
P36021	PS50850;
P36222	PS51910;
P36268	PS00462;
P36269	PS00462;
P36382	PS00407;PS00408;
P36383	PS00407;PS00408;
P36402	PS50118;
P36404	PS51417;
P36405	PS51417;
P36406	PS51417;PS50119;PS00518;PS50089;
P36507	PS00107;PS50011;PS00108;
P36508	PS00028;PS50157;
P36542	PS00153;
P36543	
P36544	PS00236;
P36551	PS01021;
P36575	PS00295;
P36578	PS00939;
P36639	PS51462;PS00893;
P36776	PS51787;PS51786;PS01046;
P36871	PS00710;
P36873	PS00125;
P36888	PS50835;PS00107;PS50011;PS00109;PS00240;
P36894	PS51256;PS00107;PS50011;PS00108;
P36896	PS51256;PS00107;PS50011;PS00108;
P36897	PS51256;PS00107;PS50011;PS00108;
P36941	PS00652;PS50050;
P36952	PS00284;
P36954	PS01030;PS00466;PS51133;
P36955	PS00284;
P36956	PS50888;
P36957	PS50968;PS00189;
P36959	PS00487;
